"","frequencies","words","collaborators"
"232","9","purpose","memorialsloanketteringcancercenter"
"233","9","treatment","memorialsloanketteringcancercenter"
"234","8","after","memorialsloanketteringcancercenter"
"235","8","among","memorialsloanketteringcancercenter"
"236","8","are","memorialsloanketteringcancercenter"
"237","8","no","memorialsloanketteringcancercenter"
"238","8","not","memorialsloanketteringcancercenter"
"239","8","our","memorialsloanketteringcancercenter"
"240","8","risk","memorialsloanketteringcancercenter"
"241","8","these","memorialsloanketteringcancercenter"
"242","8","two","memorialsloanketteringcancercenter"
"243","7","3","memorialsloanketteringcancercenter"
"244","7","all","memorialsloanketteringcancercenter"
"245","7","between","memorialsloanketteringcancercenter"
"246","7","clinical","memorialsloanketteringcancercenter"
"247","7","more","memorialsloanketteringcancercenter"
"248","7","outcomes","memorialsloanketteringcancercenter"
"249","7","study","memorialsloanketteringcancercenter"
"250","7","use","memorialsloanketteringcancercenter"
"251","7","used","memorialsloanketteringcancercenter"
"252","6","=","memorialsloanketteringcancercenter"
"253","6","1","memorialsloanketteringcancercenter"
"254","6","95%","memorialsloanketteringcancercenter"
"255","6","analysis","memorialsloanketteringcancercenter"
"256","6","association","memorialsloanketteringcancercenter"
"257","6","be","memorialsloanketteringcancercenter"
"258","6","cell","memorialsloanketteringcancercenter"
"259","6","conclusion","memorialsloanketteringcancercenter"
"260","6","factors","memorialsloanketteringcancercenter"
"261","6","found","memorialsloanketteringcancercenter"
"262","6","have","memorialsloanketteringcancercenter"
"263","6","identify","memorialsloanketteringcancercenter"
"264","6","known","memorialsloanketteringcancercenter"
"265","6","potential","memorialsloanketteringcancercenter"
"266","6","therapy","memorialsloanketteringcancercenter"
"267","6","there","memorialsloanketteringcancercenter"
"268","6","tumor","memorialsloanketteringcancercenter"
"269","6","who","memorialsloanketteringcancercenter"
"270","5","2","memorialsloanketteringcancercenter"
"271","5","4","memorialsloanketteringcancercenter"
"272","5","both","memorialsloanketteringcancercenter"
"273","5","breast","memorialsloanketteringcancercenter"
"274","5","can","memorialsloanketteringcancercenter"
"275","5","cells","memorialsloanketteringcancercenter"
"276","5","ci","memorialsloanketteringcancercenter"
"277","5","cohort","memorialsloanketteringcancercenter"
"278","5","developed","memorialsloanketteringcancercenter"
"279","5","has","memorialsloanketteringcancercenter"
"280","5","identified","memorialsloanketteringcancercenter"
"281","5","included","memorialsloanketteringcancercenter"
"282","5","less","memorialsloanketteringcancercenter"
"283","5","overall","memorialsloanketteringcancercenter"
"284","5","primary","memorialsloanketteringcancercenter"
"285","5","provide","memorialsloanketteringcancercenter"
"286","5","registry","memorialsloanketteringcancercenter"
"287","5","research","memorialsloanketteringcancercenter"
"288","5","than","memorialsloanketteringcancercenter"
"289","5","years","memorialsloanketteringcancercenter"
"290","4","<","memorialsloanketteringcancercenter"
"291","4","2015","memorialsloanketteringcancercenter"
"292","4","5","memorialsloanketteringcancercenter"
"293","4","9","memorialsloanketteringcancercenter"
"294","4","age","memorialsloanketteringcancercenter"
"295","4","although","memorialsloanketteringcancercenter"
"296","4","analyses","memorialsloanketteringcancercenter"
"297","4","been","memorialsloanketteringcancercenter"
"298","4","before","memorialsloanketteringcancercenter"
"299","4","but","memorialsloanketteringcancercenter"
"300","4","compared","memorialsloanketteringcancercenter"
"301","40","and","dukeuniversity"
"302","39","in","dukeuniversity"
"303","39","of","dukeuniversity"
"304","39","the","dukeuniversity"
"305","39","to","dukeuniversity"
"306","38","a","dukeuniversity"
"307","37","for","dukeuniversity"
"308","36","cancer","dukeuniversity"
"309","36","with","dukeuniversity"
"310","28","that","dukeuniversity"
"311","27","this","dukeuniversity"
"312","26","from","dukeuniversity"
"313","25","as","dukeuniversity"
"314","25","we","dukeuniversity"
"315","25","were","dukeuniversity"
"316","23","by","dukeuniversity"
"317","23","is","dukeuniversity"
"318","23","was","dukeuniversity"
"319","22","results","dukeuniversity"
"320","21","on","dukeuniversity"
"321","21","or","dukeuniversity"
"322","20","treatment","dukeuniversity"
"323","19","are","dukeuniversity"
"324","18","patients","dukeuniversity"
"325","18","these","dukeuniversity"
"326","16","methods","dukeuniversity"
"327","16","using","dukeuniversity"
"328","15","=","dukeuniversity"
"329","15","associated","dukeuniversity"
"330","15","study","dukeuniversity"
"331","14","0","dukeuniversity"
"332","14","1","dukeuniversity"
"333","14","at","dukeuniversity"
"334","14","been","dukeuniversity"
"335","14","use","dukeuniversity"
"336","13","2","dukeuniversity"
"337","13","data","dukeuniversity"
"338","12","background","dukeuniversity"
"339","12","be","dukeuniversity"
"340","12","clinical","dukeuniversity"
"341","12","has","dukeuniversity"
"342","12","however","dukeuniversity"
"343","12","not","dukeuniversity"
"344","12","outcomes","dukeuniversity"
"345","12","therapy","dukeuniversity"
"346","11","3","dukeuniversity"
"347","11","among","dukeuniversity"
"348","11","an","dukeuniversity"
"349","11","analysis","dukeuniversity"
"350","11","cells","dukeuniversity"
"351","11","compared","dukeuniversity"
"352","11","conclusion","dukeuniversity"
"353","11","conclusions","dukeuniversity"
"354","11","may","dukeuniversity"
"355","11","more","dukeuniversity"
"356","11","risk","dukeuniversity"
"357","11","studies","dukeuniversity"
"358","11","which","dukeuniversity"
"359","11","who","dukeuniversity"
"360","10","4","dukeuniversity"
"361","10","after","dukeuniversity"
"362","10","both","dukeuniversity"
"363","10","ci","dukeuniversity"
"364","10","have","dukeuniversity"
"365","10","included","dukeuniversity"
"366","10","survival","dukeuniversity"
"367","10","than","dukeuniversity"
"368","10","tumor","dukeuniversity"
"369","10","used","dukeuniversity"
"370","10","well","dukeuniversity"
"371","9","6","dukeuniversity"
"372","9","all","dukeuniversity"
"373","9","determine","dukeuniversity"
"374","9","our","dukeuniversity"
"375","9","patient","dukeuniversity"
"376","9","potential","dukeuniversity"
"377","9","response","dukeuniversity"
"378","9","years","dukeuniversity"
"379","8","95%","dukeuniversity"
"380","8","between","dukeuniversity"
"381","8","but","dukeuniversity"
"382","8","identified","dukeuniversity"
"383","8","increased","dukeuniversity"
"384","8","overall","dukeuniversity"
"385","8","primary","dukeuniversity"
"386","8","role","dukeuniversity"
"387","8","strategies","dukeuniversity"
"388","8","total","dukeuniversity"
"389","7","5","dukeuniversity"
"390","7","cell","dukeuniversity"
"391","7","development","dukeuniversity"
"392","7","effects","dukeuniversity"
"393","7","had","dukeuniversity"
"394","7","impact","dukeuniversity"
"395","7","median","dukeuniversity"
"396","7","p","dukeuniversity"
"397","7","participants","dukeuniversity"
"398","7","quality","dukeuniversity"
"399","7","respectively","dukeuniversity"
"400","7","review","dukeuniversity"
"401","39","and","universityofcalifornia"
"402","39","of","universityofcalifornia"
"403","39","the","universityofcalifornia"
"404","37","in","universityofcalifornia"
"405","36","cancer","universityofcalifornia"
"406","36","to","universityofcalifornia"
"407","34","a","universityofcalifornia"
"408","33","for","universityofcalifornia"
"409","32","with","universityofcalifornia"
"410","31","is","universityofcalifornia"
"411","28","as","universityofcalifornia"
"412","26","by","universityofcalifornia"
"413","25","from","universityofcalifornia"
"414","23","results","universityofcalifornia"
"415","23","that","universityofcalifornia"
"416","23","were","universityofcalifornia"
"417","22","this","universityofcalifornia"
"418","22","we","universityofcalifornia"
"419","21","on","universityofcalifornia"
"420","20","or","universityofcalifornia"
"421","20","was","universityofcalifornia"
"422","18","an","universityofcalifornia"
"423","18","are","universityofcalifornia"
"424","18","patients","universityofcalifornia"
"425","17","at","universityofcalifornia"
"426","17","study","universityofcalifornia"
"427","16","has","universityofcalifornia"
"428","16","these","universityofcalifornia"
"429","15","methods","universityofcalifornia"
"430","14","have","universityofcalifornia"
"431","14","treatment","universityofcalifornia"
"432","13","been","universityofcalifornia"
"433","13","outcomes","universityofcalifornia"
"434","12","may","universityofcalifornia"
"435","12","which","universityofcalifornia"
"436","11","all","universityofcalifornia"
"437","11","associated","universityofcalifornia"
"438","11","be","universityofcalifornia"
"439","11","conclusion","universityofcalifornia"
"440","11","data","universityofcalifornia"
"441","11","not","universityofcalifornia"
"442","10","1","universityofcalifornia"
"443","10","after","universityofcalifornia"
"444","10","conclusions","universityofcalifornia"
"445","10","risk","universityofcalifornia"
"446","10","tumor","universityofcalifornia"
"447","9","also","universityofcalifornia"
"448","9","assess","universityofcalifornia"
"449","9","both","universityofcalifornia"
"450","9","can","universityofcalifornia"
"451","9","cell","universityofcalifornia"
"452","9","clinical","universityofcalifornia"
"453","9","compared","universityofcalifornia"
"454","9","factors","universityofcalifornia"
"455","9","higher","universityofcalifornia"
"456","9","more","universityofcalifornia"
"457","9","no","universityofcalifornia"
"458","9","therapy","universityofcalifornia"
"459","9","through","universityofcalifornia"
"460","9","use","universityofcalifornia"
"461","9","used","universityofcalifornia"
"462","9","using","universityofcalifornia"
"463","9","well","universityofcalifornia"
"464","8","2","universityofcalifornia"
"465","8","advanced","universityofcalifornia"
"466","8","background","universityofcalifornia"
"467","8","but","universityofcalifornia"
"468","8","common","universityofcalifornia"
"469","8","high","universityofcalifornia"
"470","8","increased","universityofcalifornia"
"471","8","purpose","universityofcalifornia"
"472","8","than","universityofcalifornia"
"473","8","their","universityofcalifornia"
"474","8","trial","universityofcalifornia"
"475","8","two","universityofcalifornia"
"476","7","age","universityofcalifornia"
"477","7","among","universityofcalifornia"
"478","7","between","universityofcalifornia"
"479","7","breast","universityofcalifornia"
"480","7","care","universityofcalifornia"
"481","7","cells","universityofcalifornia"
"482","7","conducted","universityofcalifornia"
"483","7","disease","universityofcalifornia"
"484","7","enrolled","universityofcalifornia"
"485","7","had","universityofcalifornia"
"486","7","improved","universityofcalifornia"
"487","7","most","universityofcalifornia"
"488","7","national","universityofcalifornia"
"489","7","our","universityofcalifornia"
"490","7","patient","universityofcalifornia"
"491","7","potential","universityofcalifornia"
"492","7","provide","universityofcalifornia"
"493","7","reported","universityofcalifornia"
"494","7","studies","universityofcalifornia"
"495","7","system","universityofcalifornia"
"496","7","who","universityofcalifornia"
"497","7","years","universityofcalifornia"
"498","6","=","universityofcalifornia"
"499","6","assessed","universityofcalifornia"
"500","6","association","universityofcalifornia"
"501","22","and","universityofwashington"
"502","22","in","universityofwashington"
"503","22","of","universityofwashington"
"504","22","the","universityofwashington"
"505","21","to","universityofwashington"
"506","20","a","universityofwashington"
"507","19","cancer","universityofwashington"
"508","19","with","universityofwashington"
"509","15","by","universityofwashington"
"510","15","for","universityofwashington"
"511","14","results","universityofwashington"
"512","14","that","universityofwashington"
"513","13","is","universityofwashington"
"514","13","was","universityofwashington"
"515","13","were","universityofwashington"
"516","12","as","universityofwashington"
"517","12","on","universityofwashington"
"518","12","or","universityofwashington"
"519","12","this","universityofwashington"
"520","11","from","universityofwashington"
"521","11","has","universityofwashington"
"522","11","we","universityofwashington"
"523","10","an","universityofwashington"
"524","10","methods","universityofwashington"
"525","10","study","universityofwashington"
"526","9","1","universityofwashington"
"527","9","are","universityofwashington"
"528","9","patients","universityofwashington"
"529","8","after","universityofwashington"
"530","8","among","universityofwashington"
"531","8","between","universityofwashington"
"532","8","have","universityofwashington"
"533","8","more","universityofwashington"
"534","8","than","universityofwashington"
"535","8","using","universityofwashington"
"536","8","which","universityofwashington"
"537","7","been","universityofwashington"
"538","7","effect","universityofwashington"
"539","7","outcomes","universityofwashington"
"540","7","patient","universityofwashington"
"541","7","used","universityofwashington"
"542","6","analysis","universityofwashington"
"543","6","associated","universityofwashington"
"544","6","at","universityofwashington"
"545","6","cell","universityofwashington"
"546","6","cells","universityofwashington"
"547","6","clinical","universityofwashington"
"548","6","compared","universityofwashington"
"549","6","conclusions","universityofwashington"
"550","6","had","universityofwashington"
"551","6","high","universityofwashington"
"552","6","including","universityofwashington"
"553","6","may","universityofwashington"
"554","6","model","universityofwashington"
"555","6","not","universityofwashington"
"556","6","our","universityofwashington"
"557","6","participants","universityofwashington"
"558","6","risk","universityofwashington"
"559","6","these","universityofwashington"
"560","6","treatment","universityofwashington"
"561","5","2","universityofwashington"
"562","5","95%","universityofwashington"
"563","5","analyses","universityofwashington"
"564","5","background","universityofwashington"
"565","5","be","universityofwashington"
"566","5","data","universityofwashington"
"567","5","identify","universityofwashington"
"568","5","increase","universityofwashington"
"569","5","most","universityofwashington"
"570","5","over","universityofwashington"
"571","5","significantly","universityofwashington"
"572","5","they","universityofwashington"
"573","5","time","universityofwashington"
"574","5","trial","universityofwashington"
"575","5","tumor","universityofwashington"
"576","5","use","universityofwashington"
"577","4","=","universityofwashington"
"578","4","0","universityofwashington"
"579","4","3","universityofwashington"
"580","4","9","universityofwashington"
"581","4","about","universityofwashington"
"582","4","activity","universityofwashington"
"583","4","all","universityofwashington"
"584","4","also","universityofwashington"
"585","4","any","universityofwashington"
"586","4","assess","universityofwashington"
"587","4","based","universityofwashington"
"588","4","blood","universityofwashington"
"589","4","chemotherapy","universityofwashington"
"590","4","ci","universityofwashington"
"591","4","cohort","universityofwashington"
"592","4","colorectal","universityofwashington"
"593","4","conducted","universityofwashington"
"594","4","differences","universityofwashington"
"595","4","effective","universityofwashington"
"596","4","expression","universityofwashington"
"597","4","factors","universityofwashington"
"598","4","greater","universityofwashington"
"599","4","group","universityofwashington"
"600","4","groups","universityofwashington"
"601","15","and","dukeuniversitymedicalcenter"
"602","15","to","dukeuniversitymedicalcenter"
"603","15","with","dukeuniversitymedicalcenter"
"604","14","for","dukeuniversitymedicalcenter"
"605","14","in","dukeuniversitymedicalcenter"
"606","14","of","dukeuniversitymedicalcenter"
"607","14","the","dukeuniversitymedicalcenter"
"608","13","a","dukeuniversitymedicalcenter"
"609","13","cancer","dukeuniversitymedicalcenter"
"610","12","that","dukeuniversitymedicalcenter"
"611","11","from","dukeuniversitymedicalcenter"
"612","11","was","dukeuniversitymedicalcenter"
"613","10","as","dukeuniversitymedicalcenter"
"614","10","by","dukeuniversitymedicalcenter"
"615","10","treatment","dukeuniversitymedicalcenter"
"616","10","were","dukeuniversitymedicalcenter"
"617","9","this","dukeuniversitymedicalcenter"
"618","8","is","dukeuniversitymedicalcenter"
"619","7","or","dukeuniversitymedicalcenter"
"620","7","patient","dukeuniversitymedicalcenter"
"621","7","patients","dukeuniversitymedicalcenter"
"622","7","use","dukeuniversitymedicalcenter"
"623","7","we","dukeuniversitymedicalcenter"
"624","6","1","dukeuniversitymedicalcenter"
"625","6","all","dukeuniversitymedicalcenter"
"626","6","analysis","dukeuniversitymedicalcenter"
"627","6","associated","dukeuniversitymedicalcenter"
"628","6","been","dukeuniversitymedicalcenter"
"629","6","outcomes","dukeuniversitymedicalcenter"
"630","6","results","dukeuniversitymedicalcenter"
"631","6","study","dukeuniversitymedicalcenter"
"632","6","these","dukeuniversitymedicalcenter"
"633","5","=","dukeuniversitymedicalcenter"
"634","5","2","dukeuniversitymedicalcenter"
"635","5","3","dukeuniversitymedicalcenter"
"636","5","are","dukeuniversitymedicalcenter"
"637","5","care","dukeuniversitymedicalcenter"
"638","5","methods","dukeuniversitymedicalcenter"
"639","5","not","dukeuniversitymedicalcenter"
"640","5","on","dukeuniversitymedicalcenter"
"641","5","states","dukeuniversitymedicalcenter"
"642","5","therapy","dukeuniversitymedicalcenter"
"643","5","using","dukeuniversitymedicalcenter"
"644","5","within","dukeuniversitymedicalcenter"
"645","4","after","dukeuniversitymedicalcenter"
"646","4","an","dukeuniversitymedicalcenter"
"647","4","approach","dukeuniversitymedicalcenter"
"648","4","at","dukeuniversitymedicalcenter"
"649","4","cells","dukeuniversitymedicalcenter"
"650","4","clinical","dukeuniversitymedicalcenter"
"651","4","compared","dukeuniversitymedicalcenter"
"652","4","conclusions","dukeuniversitymedicalcenter"
"653","4","data","dukeuniversitymedicalcenter"
"654","4","during","dukeuniversitymedicalcenter"
"655","4","enrolled","dukeuniversitymedicalcenter"
"656","4","has","dukeuniversitymedicalcenter"
"657","4","health","dukeuniversitymedicalcenter"
"658","4","included","dukeuniversitymedicalcenter"
"659","4","many","dukeuniversitymedicalcenter"
"660","4","may","dukeuniversitymedicalcenter"
"661","4","median","dukeuniversitymedicalcenter"
"662","4","more","dukeuniversitymedicalcenter"
"663","4","showed","dukeuniversitymedicalcenter"
"664","4","survival","dukeuniversitymedicalcenter"
"665","4","system","dukeuniversitymedicalcenter"
"666","4","than","dukeuniversitymedicalcenter"
"667","4","total","dukeuniversitymedicalcenter"
"668","4","tumor","dukeuniversitymedicalcenter"
"669","4","well","dukeuniversitymedicalcenter"
"670","4","which","dukeuniversitymedicalcenter"
"671","4","years","dukeuniversitymedicalcenter"
"672","3","(p","dukeuniversitymedicalcenter"
"673","3","<","dukeuniversitymedicalcenter"
"674","3","0","dukeuniversitymedicalcenter"
"675","3","15","dukeuniversitymedicalcenter"
"676","3","4","dukeuniversitymedicalcenter"
"677","3","5","dukeuniversitymedicalcenter"
"678","3","5%","dukeuniversitymedicalcenter"
"679","3","across","dukeuniversitymedicalcenter"
"680","3","activation","dukeuniversitymedicalcenter"
"681","3","addition","dukeuniversitymedicalcenter"
"682","3","also","dukeuniversitymedicalcenter"
"683","3","among","dukeuniversitymedicalcenter"
"684","3","anticancer","dukeuniversitymedicalcenter"
"685","3","available","dukeuniversitymedicalcenter"
"686","3","be","dukeuniversitymedicalcenter"
"687","3","before","dukeuniversitymedicalcenter"
"688","3","but","dukeuniversitymedicalcenter"
"689","3","cell","dukeuniversitymedicalcenter"
"690","3","chemotherapy","dukeuniversitymedicalcenter"
"691","3","completed","dukeuniversitymedicalcenter"
"692","3","conclusion","dukeuniversitymedicalcenter"
"693","3","decreased","dukeuniversitymedicalcenter"
"694","3","developed","dukeuniversitymedicalcenter"
"695","3","disparities","dukeuniversitymedicalcenter"
"696","3","drug","dukeuniversitymedicalcenter"
"697","3","evidence","dukeuniversitymedicalcenter"
"698","3","had","dukeuniversitymedicalcenter"
"699","3","have","dukeuniversitymedicalcenter"
"700","3","high","dukeuniversitymedicalcenter"
"701","16","a","theuniversityoftexasmdandersoncancercenter"
"702","16","and","theuniversityoftexasmdandersoncancercenter"
"703","16","for","theuniversityoftexasmdandersoncancercenter"
"704","16","in","theuniversityoftexasmdandersoncancercenter"
"705","16","of","theuniversityoftexasmdandersoncancercenter"
"706","16","the","theuniversityoftexasmdandersoncancercenter"
"707","15","cancer","theuniversityoftexasmdandersoncancercenter"
"708","15","to","theuniversityoftexasmdandersoncancercenter"
"709","15","with","theuniversityoftexasmdandersoncancercenter"
"710","12","is","theuniversityoftexasmdandersoncancercenter"
"711","11","results","theuniversityoftexasmdandersoncancercenter"
"712","11","that","theuniversityoftexasmdandersoncancercenter"
"713","10","was","theuniversityoftexasmdandersoncancercenter"
"714","10","we","theuniversityoftexasmdandersoncancercenter"
"715","9","methods","theuniversityoftexasmdandersoncancercenter"
"716","9","this","theuniversityoftexasmdandersoncancercenter"
"717","9","were","theuniversityoftexasmdandersoncancercenter"
"718","8","as","theuniversityoftexasmdandersoncancercenter"
"719","8","on","theuniversityoftexasmdandersoncancercenter"
"720","7","3","theuniversityoftexasmdandersoncancercenter"
"721","7","associated","theuniversityoftexasmdandersoncancercenter"
"722","7","at","theuniversityoftexasmdandersoncancercenter"
"723","7","by","theuniversityoftexasmdandersoncancercenter"
"724","7","conclusions","theuniversityoftexasmdandersoncancercenter"
"725","6","0","theuniversityoftexasmdandersoncancercenter"
"726","6","1","theuniversityoftexasmdandersoncancercenter"
"727","6","2","theuniversityoftexasmdandersoncancercenter"
"728","6","are","theuniversityoftexasmdandersoncancercenter"
"729","6","background","theuniversityoftexasmdandersoncancercenter"
