"",".","n"
"295","bethisraeldeaconessmedicalcenterandharvardmedicalschool",1
"296","biomedicalandtranslationalinformaticsinstitute",1
"297","bionomicsltd",1
"298","blokhincancerresearchcentre",1
"299","bloodworksnwresearchinstitute",1
"300","blueclinicalphasei",1
"301","bostonuniversityandbostonmedicalcenter",1
"302","bostonuniversityschoolofmedicine",1
"303","braintumorcenterofexcellence",1
"304","brigham&women'shospitalandharvardmedicalschool",1
"305","brighamandwomen'shospitalandbostonvahealthcaresystem",1
"306","britishcolumbiacanceragency",1
"307","britishcolumbiacancerresearchcentre",1
"308","broadinstitute",1
"309","broadinstituteofmassachusettsinstituteoftechnologyandharvarduniversity",1
"310","broadinstituteofmit&harvard",1
"311","broadinstituteofmitandharvarduniversity",1
"312","brownuniversity",1
"313","brtishcolumbiacanceragency",1
"314","buckinstituteforresearchonaging",1
"315","california;sanfranciscomedicalcenter",1
"316","californiacancercenter",1
"317","cambridgeuniversity",1
"318","canada;montrealheartinstitute",1
"319","cancercenterleonberard",1
"320","cancercentermariasklodowska-curieinstituteofoncology",1
"321","cancercenterofhawaii",1
"322","cancercenterofkansas",1
"323","cancerpreventioninstituteofcalifornia",1
"324","cancerresearchandpreventioninstitute",1
"325","cannonresearchcenter",1
"326","carolinasmedicalcenter",1
"327","casecomprehensivecancercenter",1
"328","casewesternuniversity",1
"329","catalaninstituteofoncology(ico-idibell)",1
"330","catholicuniversity",1
"331","cedarssinaimedicalcenter",1
"332","centerforbioethics",1
"333","centerforbiostatisticsinaidsresearch",1
"334","centerfordrugevaluationandresearch",1
"335","centerforgastrointestinalbiologyanddisease",1
"336","centerforgenomicmedicine",1
"337","centerforhealthequityandcommunityengagedresearch",1
"338","centerforhealthresearch-kaiserpermanentenorthwest",1
"339","centerforhealthservicesresearchinprimarycare",1
"340","centerforhematologicmalignancies",1
"341","centerforinnovationsinquality",1
"342","centerformedicalethicsandhealthpolicy",1
"343","centerformolecularoncology",1
"344","centerforprecisionenvironmentalhealth",1
"345","centerfortranslationalresearchoninflammatorydiseases(ctrid)",1
"346","centralsouthuniversity",1
"347","centreantoine-lacassagne",1
"348","centred'etudedessupportsdepublicité",1
"349","centrederechercheducentrehospitalierdel'universitédemontréal(crchum)",1
"350","centreforinnovativeandcollaborativehealthservicesresearch",1
"351","centrehospitalierdel'universitédemontréal",1
"352","centrohospitalarsãojoão",1
"353","champalimaudclinicalcenter/champalimaudfoundation",1
"354","charlesbronfmaninstituteforpersonalizedmedicine",1
"355","charlesuniversity",1
"356","chibakensaiseikainarashinohospital",1
"357","children'shospitalatmontefiore",1
"358","chinamedicaluniversityandhospital",1
"359","chinamedicaluniversityhospital",1
"360","chinapharmaceuticaluniversity",1
"361","chineseacademyofmedicalsciencesandpekingunionmedialcollege",1
"362","christchurchhospital",1
"363","cityofhopecomprehensivecancercenterandbeckmanresearchinstitute",1
"364","clalitnationalcancercontrolcenteratcarmelmedicalcenterandtechnionfacultyofmedicine",1
"365","clemsonuniversity",1
"366","clevelandclinic-weston",1
"367","clevelandclinicgenomicmedicineinstitute",1
"368","clevinecancerinstitute",1
"369","clinicalcenterofserbia",1
"370","clinicalgeneticsservice",1
"371","clinicaloutcomessolutions",1
"372","clinicalpharmacology",1
"373","coloradoschoolofpublichealth",1
"374","columbiauniversity",1
"375","columbiauniversitycollegeofphysiciansandsurgeons",1
"376","computationalbiologycenter",1
"377","conehealthcancercenter",1
"378","copenhagenuniversityhospital",1
"379","copernicushospitalgdańsk",1
"380","creightonuniversitymedicalcenter",1
"381","criticalpathinstitute",1
"382","d'annunziouniversity",1
"383","dana-farber/brighamandwomen'scancercenterandharvardmedicalschool",1
"384","dana-farber/harvardcancercenter",1
"385","dana-farbercancerinstitute/brighamandwomen'shospital",1
"386","dartmouth-hitchcockmedicalcenter",1
"387","davidgeffenschoolofmedicineatucla",1
"388","davidgeffenschoolofmedicineatuniversityofcalifornia",1
"389","departmentofcancerbiologyandcomprehensivecancercenter",1
"390","departmentofclinicalresearchdivision",1
"391","departmentofclinicalsciencesandcommunityhealth",1
"392","departmentofpharmacychinapharmaceuticaluniversitynanjing210009china",1
"393","departmentofpharmacynanjinguniversityofchinesemedicinenanjing210023china",1
"394","departmentofthoracicsurgeryvirginiamasonmedicalcenter",1
"395","divisionofmedicaloncologyattheuniversityoftennesseehealthsciencecenter(uthsc)",1
"396","divisionofpublichealthsciencesatfredhutchinsoncancerresearchcenter",1
"397","duke-nus(nationaluniversityofsingapore)medicalschool",1
"398","dukeschoolofmedicine",1
"399","dukeuniversityandcancercontrolandpopulationsciencesprogram",1
"400","durhamvamedicalcenter",1
"401","educationandclinicalcenter(mirecc)",1
"402","esophagealandlunginstitute",1
"403","europeancentrefordiseasepreventionandcontrol",1
"404","europeanorganisationforresearchandtreatmentofcancer",1
"405","europeanorganisationforresearchandtreatmentofcancer(eortc)",1
"406","europeanorganisationforresearchandtreatmentofcancer(eortc)hq",1
"407","experimentalandclinicalpharmacologyunit",1
"408","federalmedicalcentre",1
"409","federaluniversityofriograndedosul",1
"410","federaluniversityofsãopaulo",1
"411","federicoiiuniversity",1
"412","fieldingschoolofpublichealthatucla",1
"413","flevohospital",1
"414","flindersuniversity",1
"415","floridahospitalmedicalgroup",1
"416","fondazionepoliclinicoagostinogemelli",1
"417","fourthmilitarymedicaluniversity",1
"418","frenchreferencecenterforparaneoplasticneurologicalsyndrome",1
"419","fromtheuniversityoftexasm",1
"420","fujitahealthuniversityschoolofmedicine",1
"421","geisingercommonwealthschoolofmedicine",1
"422","georgespompidouhospital",1
"423","georgetownuniversity",1
"424","geriatricresearcheducationandclinicalcenter(grecc)",1
"425","germancancerresearchcenter (dkfz)",1
"426","germancancerresearchcenter(dfkz)",1
"427","germancancerresearchcenter(dkfz)",1
"428","gillingsschoolofglobalpublic",1
"429","gillingsschoolofglobalpublichealth",1
"430","groupementhospitalierest",1
"431","hacettepeuniversity",1
"432","hackensackuniversitymedicalcenter",1
"433","hamamatsuuniversityschoolofmedicine",1
"434","hannovermedicalschool",1
"435","harvardmedicalschoolandharvardpilgrimhealthcareinstitute",1
"436","harvardthchanschoolofpublichealth",1
"437","harvarduniversity",1
"438","harvarduniversitymedicalschool",1
"439","heidelberguniversityhospital",1
"440","hemophiliaandthrombosiscenter",1
"441","hersheymedicalcenter",1
"442","hersheymedicalcenter/pennsylvaniastateuniversity",1
"443","hirosakiuniversitygraduateschoolofmedicine",1
"444","hospitalclínicdebarcelona",1
"445","hospitalclínico",1
"446","hospitalclinicofbarcelona",1
"447","hospitalclínicosancarlos",1
"448","hospitaldasclínicasdafaculdadedemedicinadauniversidadedesãopaulo",1
"449","hospitaldelasantacreuisantpau",1
"450","hospitalerastogaertner",1
"451","hospitalgeneraluniversitariogregoriomarañón",1
"452","howardhughesmedicalinstitute",1
"453","howarduniversitycollegeofmedicine",1
"454","huazhonguniversityofscienceandtechnology",1
"455","icahnschoolofmedicineatmt",1
"456","iconclinicalresearch",1
"457","imperialcollegelondon",1
"458","india;king'shealthpartnerscomprehensivecancercentreandinstituteofcancerpolicy",1
"459","indianauniversity",1
"460","indianauniversitymedicalcenter",1
"461","instituteforclinicalandtranslationalresearch",1
"462","institutefordiseasemodeling",1
"463","instituteforimageguidedsurgeryihu-strasbourg",1
"464","instituteforresearchinbiomedicine(irbbarcelona)andciberonc",1
"465","instituteofbasicmedicalsciences",1
"466","instituteofbiophysics",1
"467","instituteofbiosciencesandtechnology",1
"468","instituteofepidemiologyii",1
"469","instituteofmedicinalplantdevelopment(implad)",1
"470","instituteofmolecularpathologyandimmunologyoftheuniversityofporto",1
"471","instituteofpopulationhealthsciences",1
"472","istanbuluniversity",1
"473","jacobimedicalcenter",1
"474","jilinuniversity",1
"475","johnshopkinsschoolofmedicine",1
"476","johnshopkinsschoolofnursing",1
"477","johnshopkinsschoolofpublichealth",1
"478","johnshopkinssidneykimmelcomprehensivecancercenter",1
"479","judechildren'shospital",1
"480","kaiserpermanentenortherncaliforniaoaklandmedicalcenter",1
"481","kaiserpermanenteofwashingtonhealthresearchinstitute",1
"482","kaiserpermanentewashingtonhealthresearchinstitute",1
"483","kenyamedicalresearchinstitute",1
"484","keylaboratoryofxin'anmedicineministryofeducationanhuiprovincekeylaboratoryofr&dofchinesemedicineanhuiuniversityoftraditionalchinesemedicinehefeianhui230038china",1
"485","king'scollegelondon",1
"486","king'shealthpartnerscomprehensivecancercentreandinstituteofcancerpolicy",1
"487","kinghusseincancercenter",1
"488","kitasatouniversityschoolofmedicine",1
"489","kochinstituteforintegrativecancerresearchanddepartmentofbiology",1
"490","koreauniversity",1
"491","kraviscenterformolecularoncology",1
"492","kumamotouniversity",1
"493","kumamotouniversitygraduateschoolofmedicine",1
"494","kurokawahospital",1
"495","laboratoryofexperimentalclinicalchemistry",1
"496","laheyhospital&medicalcenter",1
"497","lankenauhospital",1
"498","latimoneuniversityhospitalofmarseille",1
"499","lausanneuniversityhospital(chuv)",1
"500","leemoffitcancercenter",1
"501","leemoffittcancercenterandresearchinstitute",1
"502","leidenuniversitymedicalcenterandhaaglandenmedicalcenter",1
"503","levinecancercenter",1
"504","linköpinguniversity",1
"505","londonschoolofhygiene&tropicalmedicine",1
"506","londonuk;centreforglobaldevelopment",1
"507","louisianastateuniversity",1
"508","louisianastateuniversityhealthsciencecenter",1
"509","loyolauniversitymedicalcenter",1
"510","ltd",1
"511","ludwigmaximiliansuniversity",1
"512","lunenfeld-tanenbaumresearchinstitute",1
"513","luriecomprehensivecancercenterofnorthwesternuniversity",1
"514","lyon-sudhospital",1
"515","maastrichtuniversitymedicalcenter",1
"516","maimonidesmedicalcenter",1
"517","makerereuniversity",1
"518","malawicollegeofmedicine",1
"519","marybridgehospital/multicarehealthsystem",1
"520","marycrowleycancerresearchcenter",1
"521","massachusettsgeneralhospitalcancercenterandharvardmedicalschool",1
"522","masseycancercenteratvirginiacommonwealthuniversity",1
"523","maxplanckinstituteofmolecularphysiology",1
"524","mayoclinicandmayocancercenter",1
"525","mayocliniccomprehensivecancercenter",1
"526","medebakeyvamedicalcenter",1
"527","medicalcollegeofwisconsin",1
"528","medicalcollegeofwisconsincancercenter",1
"529","medicaluniversitygraz",1
"530","medicaluniversityofgdańsk",1
"531","medicinesandhealthcareproductsregulatoryagency",1
"532","memorialcancerinstitute",1
"533","memorialsloanketteringcancercenterladanyim@mskcc",1
"534","meyercancercenterandenglanderinstituteforprecisionmedicine",1
"535","michiganstateuniversity",1
"536","militaryinstituteofmedicine",1
"537","mindichchildhealthanddevelopmentinstitute",1
"538","moffittcancercenter&researchinstitute",1
"539","moffittcancercenterandresearchinstitute",1
"540","mohammedvuniversityinrabat",1
"541","montefioremedicalcenter",1
"542","mooresucsandiegocomprehensivecancercenter",1
"543","mosesconeregionalcancercenter",1
"544","mrc/phecentreforenvironmentandhealth",1
"545","murdockresearchinstitute",1
"546","nanjingnormaluniversity",1
"547","nanjinguniversity",1
"548","nantonguniversity",1
"549","nationalandkapodistrianuniversityofathens",1
"550","nationalcancercenter",1
"551","nationalcancercentresingapore",1
"552","nationalcancerinstitutemexico",1
"553","nationalcenterforcancercareandresearch",1
"554","nationalcenterforhiv/aids",1
"555","nationalcenterforscientificandtechnolgicalresearch",1
"556","nationalcenterfortumordiseases",1
"557","nationalchengkunguniversity",1
"558","nationalhumangenomeresearchinstitute(nhgri)",1
"559","nationalinstituteofhealthsciencesbiologicalsafetycenter",1
"560","nationalinstituteofneurologicaldisordersandstroke",1
"561","nationalinstituteofneurologicaldisordersandstrokeandthecenterforcancerresearch",1
"562","nationalinstituteofpublichealth",1
"563","nationalinstituteonminorityhealthandhealthdisparities",1
"564","nationalinstitutesofallergyandinfectiousdiseases",1
"565","nationwidechildren'shospital",1
"566","neurosurgerydepartmentofhuashanhospital",1
"567","newhanoverregionalmedicalcenterradiationoncology",1
"568","newmexicostateuniversity",1
"569","newyorkpresbyterianhospital",1
"570","newyorkuniversity",1
"571","nhmrcclinicaltrialscentre",1
"572","noferinstituteofoccupationalmedicine",1
"573","northcarolinacancerhospital",1
"574","northdakotastateuniversity",1
"575","northwellhealth-northshorelongislandjewishmedicalcenter",1
"576","norwegianuniversityofscienceandtechnology",1
"577","NOTDETECTED/OTHER:,newrochelle,usa",1
"578","NOTDETECTED/OTHER:10officeofhealtheconomics,london,uk",1
"579","NOTDETECTED/OTHER:14boehringeringelheim,frankfurt,germany",1
"580","NOTDETECTED/OTHER:18usfoodanddrugadministration,silverspring,md,usa",1
"581","NOTDETECTED/OTHER:24internationalbraintumouralliance,surrey,uk",1
"582","NOTDETECTED/OTHER:25internalmedicine/oncology,institutjulesbordet,brussels,belgium",1
"583","NOTDETECTED/OTHER:27centrodeestudoseinvestigaçãoemsaúdedauniversidadedecoimbra,coimbra,portugal",1
"584","NOTDETECTED/OTHER:31healthcanada,ottawa,on,canada",1
"585","NOTDETECTED/OTHER:3interleukingenetics,waltham,ma,usa",1
"586","NOTDETECTED/OTHER:4fortcollinsradiologicassociates,pc,fortcollins,colorado",1
"587","NOTDETECTED/OTHER:6genentech,sanfrancisco,ca,usa",1
"588","NOTDETECTED/OTHER:8adelphivalues,bollington,uk",1
"589","NOTDETECTED/OTHER:academicdepartmentofpalliativemedicine,ourlady'shospiceandcareservices,dublin,ireland",1
"590","NOTDETECTED/OTHER:academicdepartmentofpalliativemedicine,ourlady'shospiceandcareservices,dublin,ireland.declan.walsh@carolinashealthcare.org",1
"591","NOTDETECTED/OTHER:adelphivalues,bollington,cheshire,uk",1
"592","NOTDETECTED/OTHER:adrugmetabolismandpharmacokinetics,takedapharmaceuticalsinternationalco,35landsdownestreet,cambridge,ma,usa",1
"593","NOTDETECTED/OTHER:alma(associationofpatientswithachalasia,onlus),naples,italy",1
"594","NOTDETECTED/OTHER:americansexualhealthassociation,researchtrianglepark,nc",1
"595","NOTDETECTED/OTHER:amgeninc.,thousandoaks,ca,usa",1
"596","NOTDETECTED/OTHER:andortechnology",1
"597","NOTDETECTED/OTHER:apobiologix,toronto,on,m9l2y6,canada",1
"598","NOTDETECTED/OTHER:appliedphotophysics,beverly,ma,usa",1
"599","NOTDETECTED/OTHER:astrazeneca,gothenburg,sweden",1
"600","NOTDETECTED/OTHER:banesthesiologyandsurgicaloncologyresearchgroup,houston,tx,usa",1
"601","NOTDETECTED/OTHER:bartshealthnhstrust,london,uk.electronicaddress:bhawna.sirohi13@gmail.com",1
"602","NOTDETECTED/OTHER:bcancerpharmacology,takedapharmaceuticalsinternationalco,40landsdownestreet,cambridge,ma,usa,and",1
"603","NOTDETECTED/OTHER:behavioralandepidemiologyresearchgroup,americancancersociety,250williamsst,atlanta,ga30303,usa",1
"604","NOTDETECTED/OTHER:bethelgospelassembly,newyork,ny10035,usa",1
"605","NOTDETECTED/OTHER:bhpvvaccinationandhpvvacsprogram,americancancersociety,atlanta,ga,usa",1
"606","NOTDETECTED/OTHER:bindtherapeutics,inc,cambridge,massachusetts.",1
"607","NOTDETECTED/OTHER:biomedvalleydiscoveries,kansascity,missouri",1
"608","NOTDETECTED/OTHER:biostatistics",1
"609","NOTDETECTED/OTHER:biostatisticscore,geisinger,danville,pennsylvania",1
"610","NOTDETECTED/OTHER:bladdercanceradvocacynetwork,bethesda,maryland",1
"611","NOTDETECTED/OTHER:boehringeringelheiminternationalgmbh,ingelheim,germany",1
"612","NOTDETECTED/OTHER:bostonbiocheminc.,cambridge,ma02139,usa",1
"613","NOTDETECTED/OTHER:cancerandagingresearchprogram,cityofhope,duarte,california",1
"614","NOTDETECTED/OTHER:cancerepidemiologyresearchprogramme,institutcatalàd'oncologia,barcelona,spain",1
"615","NOTDETECTED/OTHER:cancerresearchandbiostatistics,seattle,wa,usa",1
"616","NOTDETECTED/OTHER:cancertherapyevaluationprogram,nih,bethesda,maryland",1
"617","NOTDETECTED/OTHER:cancertrialsireland,dublin,ireland",1
"618","NOTDETECTED/OTHER:capesfoundation,ministryofeducationofbrazil,brasília,federaldistrict70040-020,brazil",1
"619","NOTDETECTED/OTHER:cardinalhealth,dublin,oh,unitedstates.electronicaddress:chadi.nabhan@cardinalhealth.com.",1
"620","NOTDETECTED/OTHER:celgenecorporation,summit,nj,unitedstates",1
"621","NOTDETECTED/OTHER:centrodeestudiosdeestadoysociedad,buenosaires,argentina",1
"622","NOTDETECTED/OTHER:chemicalbiologylaboratory,ccr,nci,frederick,21702,md,usa",1
"623","NOTDETECTED/OTHER:childandadolescentresearchandevaluationprogram,rtiinternational,researchtrianglepark,northcarolina.",1
"624","NOTDETECTED/OTHER:chriso'brienlifehouse,sydney,nsw,australia",1
